"etnia","partidos","idade_recod","escolaridade","renda","temp_fil","horas","inf_part","inf_pais","inf_voto","mot_cand","mot_asso","mot_amiz","mot_carg","mot_cesp","mot_convic","mot_conviv","mot_emp","mot_opos","mot_reli","mot_trad","pos_ideol","pos_ideol_part","Part_rej","Part_tol","atvc_reuniao","atvc_comicio","atvc_convencao","atvc_eldir","atvc_panfl","atvc_adm","atvc_recrt","atvc_del","atvc_cand","atvc_internet","atvc_rua","estado"
"103",0,NA,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"104",0,"PSDB",43,0,NA,19,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,5,"5",NA,"2","1",NA,"1",NA,"1","1","1",NA,"1",NA,"1",18
"105",1,NA,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",1,"PSOL",52,1,NA,24,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"107",1,"PSB",68,1,1,NA,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,"1",NA,"3","1","1","1",NA,"1",NA,"1",NA,"1","1",NA,6
"108",1,"PTC",56,0,NA,14,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,"1",NA,"1",NA,"1",16
"109",1,"SOLIDARIEDADE",51,1,NA,32,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,NA,NA,NA,NA,"1","1","1","1","1","1","1","1",NA,"1","1",3
"110",1,"MDB",50,0,NA,24,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,NA,NA,"PT","1","1",NA,"1","1","1",NA,NA,NA,"1",NA,"1",16
"111",1,"PDT",41,0,1,22,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,3,"5",NA,"3","1","1","1","1","1",NA,"1",NA,"1","1",NA,21
"112",1,"DEM",53,1,3,33,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,8,"6",NA,"2","1","1","1","1","1",NA,"1",NA,"1",NA,NA,12
"113",1,"PSD",50,1,3,32,0,NA,0,1,0,0,0,0,1,0,1,0,0,0,0,5,"5",NA,"2","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,25
"114",1,"PV",59,1,NA,38,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"115",0,"PT",58,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"116",1,"DEM",69,1,NA,40,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,NA,NA,NA,"1","1",NA,"1","1","1",NA,"1",NA,"1","1","1",16
"117",0,"PSB",53,0,3,20,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,"1",NA,"1","1","1","1","1","1",NA,"1",NA,"1","1","1",5
"118",0,NA,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",0,"REPUBLICANOS",54,0,NA,35,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,"1","1","1",NA,"1",NA,"1",NA,"1",NA,"1",5
"120",0,NA,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",1,"PP",39,1,1,20,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,6,"5","PT","1","1","1","1","1","1",NA,"1","1","1",NA,"1",21
"122",0,NA,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",0,"PSL",71,0,1,21,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,8,"9",NA,"2","1","1","1",NA,NA,"1","1",NA,"1",NA,NA,13
"124",1,"PSB",57,1,2,33,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,3,"5",NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,13
"125",0,"PSDB",59,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"126",0,"PROS",23,0,1,7,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,5,"7","PT","1","1","1","1",NA,"1","1","1",NA,NA,NA,"1",5
"127",0,"PL",46,1,NA,15,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,NA,NA,NA,NA,"1",NA,"1","1","1",NA,"1","1","1",NA,NA,22
"128",1,"PSOL",65,1,1,NA,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,"1",NA,"1","1",NA,"1","1","1",NA,"1",NA,"1","1","1",13
"129",0,"PSOL",33,1,2,14,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,"1",NA,"1","1",NA,"1","1","1",NA,"1",NA,"1","1","1",25
"130",1,"PSD",43,1,3,13,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,5,"5",NA,"1","1","1","1","1",NA,"1","1","1","1","1","1",13
"131",0,"PSDB",68,0,2,31,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,"6","PT","1","1","1","1","1","1",NA,"1",NA,"1",NA,"1",9
